BusinessName,LicenseNumber,LicenseType,Address,City,State,Zip,Phone,LicenseEffectiveDate,LicenseExpirationDate,BusinessType,Specialty1,Specialty2,PrincipalName,UBI,DaysSinceLicensed
MINI SPLIT PROS,MINISSP744L4,CONSTRUCTION CONTRACTOR,4408 54TH AVE SW,SEATTLE,WA,98116,8776467758,07/01/2026,07/01/2028,Limited Liability Company,Heating/Vent/Air-Conditioning and Refrig (HVAC/R),,"VAYANOS, ALKINOOS HECTOR",606220823,3
PRINGLES POWER VAC INC,PRINGPV741KR,CONSTRUCTION CONTRACTOR,7505 KOHLER RD,PASCO,WA,99301,5095510905,07/01/2026,07/01/2028,Limited Liability Company,Heating/Vent/Air-Conditioning and Refrig (HVAC/R),,"GADD, PETER",606031154,3
